Date,Clicks,Impressions,CTR,Position
2026-05-16,0,0,,
2026-05-17,0,3,0%,1
2026-05-18,0,2,0%,1
2026-05-19,0,1,0%,1
2026-05-20,0,6,0%,1
2026-05-21,0,1,0%,1
2026-05-22,0,0,,
2026-05-23,0,0,,
2026-05-24,0,2,0%,40
2026-05-25,0,11,0%,16.5
2026-05-26,0,2,0%,85.5
2026-05-27,0,6,0%,78.5
2026-05-28,1,5,20%,58.6
2026-05-29,1,13,7.69%,55.5
2026-05-30,0,9,0%,68
2026-05-31,0,1,0%,84
2026-06-01,0,13,0%,53.4
2026-06-02,0,8,0%,69
2026-06-03,0,5,0%,79.6
2026-06-04,0,12,0%,75.8
2026-06-05,0,36,0%,89.3
2026-06-06,0,39,0%,91.2
2026-06-07,0,5,0%,66
2026-06-08,0,4,0%,86.8
2026-06-09,0,46,0%,82.1
2026-06-10,0,80,0%,81.6
2026-06-11,0,6,0%,93.2
2026-06-12,0,3,0%,89.7
2026-06-13,0,5,0%,87.2
2026-06-14,0,11,0%,85.7
2026-06-15,0,3,0%,86.3
2026-06-16,0,5,0%,94.4
2026-06-17,0,6,0%,89
2026-06-18,0,1,0%,96
2026-06-19,0,1,0%,50
2026-06-20,0,2,0%,47
2026-06-21,0,4,0%,76.5
2026-06-22,0,8,0%,59.2
2026-06-23,0,4,0%,60.8
