Country,Clicks,Impressions,CTR,Position
Morocco,2,25,8%,1
United States,0,95,0%,84.76
United Kingdom,0,36,0%,89.42
Germany,0,30,0%,81.27
Canada,0,26,0%,79.65
Italy,0,22,0%,82.23
Spain,0,17,0%,84.59
Denmark,0,15,0%,83.4
Australia,0,15,0%,84.93
India,0,13,0%,40.85
Austria,0,9,0%,75.89
Brazil,0,7,0%,84
Pakistan,0,5,0%,60
Netherlands,0,5,0%,83.4
Philippines,0,5,0%,87.8
Israel,0,4,0%,92.75
Malaysia,0,3,0%,84.33
Thailand,0,3,0%,88.33
Romania,0,2,0%,35.5
Indonesia,0,2,0%,46.5
Vietnam,0,2,0%,53.5
Poland,0,2,0%,78.5
Saudi Arabia,0,2,0%,86
Egypt,0,2,0%,88.5
Singapore,0,2,0%,93
Japan,0,1,0%,10
Bangladesh,0,1,0%,20
Mexico,0,1,0%,21
Iraq,0,1,0%,22
South Africa,0,1,0%,27
Tunisia,0,1,0%,28
Russia,0,1,0%,54
Colombia,0,1,0%,72
Estonia,0,1,0%,74
Bulgaria,0,1,0%,76
Nigeria,0,1,0%,79
Hong Kong,0,1,0%,81
Ireland,0,1,0%,82
Lithuania,0,1,0%,84
Kenya,0,1,0%,86
Norway,0,1,0%,89
Zambia,0,1,0%,89
Argentina,0,1,0%,90
Czechia,0,1,0%,98
Greece,0,1,0%,100
